hub,hub_out_trip_count,hub_out_median_factor,hub_out_pct_delayed,hub_out_median_dwell,hub_in_trip_count,hub_in_median_factor,hub_in_pct_delayed
IND673506AAA,17.0,1.458333333,1.0,16.0,17.0,1.714285714,0.9411764705882353
IND673573AAA,12.0,1.6019301955,1.0,20.0,0.0,0.0,0.0
IND673592AAA,24.0,2.0294117645,1.0,45.0,18.0,1.6988095235,1.0
IND673632AAA,15.0,1.210526316,0.5333333333333333,154.0,8.0,1.8956043955,1.0
IND676306AAA,7.0,1.625,0.8571428571428571,6.0,4.0,1.1002506265,0.25
IND676509AAA,4.0,1.7976190475,0.75,13.0,7.0,1.625,0.8571428571428571
IND678683AAA,13.0,1.212121212,0.5384615384615384,35.0,14.0,2.4195906430000003,1.0
IND679303AAA,14.0,2.5647058825,1.0,13.0,11.0,1.418604651,1.0
IND679322AAA,1.0,2.230769231,1.0,2.0,3.0,2.095238095,1.0
IND679329AAA,3.0,1.619047619,1.0,4.0,0.0,0.0,0.0
IND679531AAA,15.0,1.36,0.9333333333333333,18.0,14.0,2.5647058825,1.0
IND680012AAA,11.0,1.418604651,1.0,34.0,11.0,1.473684211,1.0
IND68004AAA,24.0,2.4057017545,1.0,31.0,23.0,1.479166667,0.9565217391304348
IND680104AAA,17.0,1.451612903,0.8235294117647058,31.0,16.0,1.49691358,0.9375
IND680307AAA,12.0,1.6220238095,1.0,26.5,13.0,1.363636364,0.6923076923076923
IND680587AAA,14.0,2.046511628,1.0,29.5,15.0,1.36,0.9333333333333333
IND680712AAA,9.0,1.657894737,1.0,24.0,7.0,1.619047619,1.0
IND683511AAA,86.0,1.473205742,0.872093023255814,354.5,89.0,1.79245283,0.9887640449438202
IND683565AAA,13.0,1.894736842,1.0,26.0,7.0,1.095238095,0.42857142857142855
IND683572AAA,13.0,1.363636364,0.6923076923076923,21.0,0.0,0.0,0.0
IND685514AAA,9.0,1.529411765,1.0,60.0,9.0,1.8125,1.0
IND686028AAB,17.0,1.375,0.8823529411764706,92.0,23.0,2.088607595,1.0
IND686507AAA,16.0,2.333333333,1.0,23.5,1.0,2.8,1.0
IND686513AAA,9.0,2.314285714,1.0,15.0,15.0,2.333333333,1.0
IND686540AAA,2.0,1.9459064325,1.0,596.0,9.0,2.142857143,1.0
IND686632AAA,1.0,2.5,1.0,7.0,1.0,6.095238095,1.0
IND688009AAA,14.0,3.1,1.0,654.5,15.0,1.21875,0.5333333333333333
IND688524AAA,7.0,2.269230769,1.0,40.0,0.0,0.0,0.0
IND689101AAA,10.0,1.4,0.8,39.5,16.0,1.3675000000000002,0.875
IND689503AAB,1.0,2.25,1.0,82.0,1.0,2.071428571,1.0
IND689645AAA,15.0,1.75,1.0,22.0,15.0,2.269230769,1.0
IND689650AAA,3.0,1.604651163,1.0,6.0,6.0,1.3666666665,0.6666666666666666
IND690537AAA,1.0,2.071428571,1.0,33.0,0.0,0.0,0.0
IND690548AAA,15.0,1.21875,0.5333333333333333,25.0,7.0,1.5,1.0
IND691001AAB,32.0,1.3444940475,0.875,141.5,30.0,2.0253530165,1.0
IND691305AAA,16.0,2.2774725275,1.0,17.0,20.0,1.527863777,1.0
IND691506AAA,20.0,1.527863777,1.0,14.5,21.0,1.36,0.9047619047619048
IND691551AAA,18.0,2.263157895,1.0,647.0,16.0,1.75,1.0
IND691574AAA,21.0,1.55,1.0,17.0,21.0,1.266666667,0.6190476190476191
IND695012AAA,14.0,1.566840278,1.0,71.5,9.0,2.19047619,1.0
IND695012AAB,3.0,3.3,1.0,271.0,0.0,0.0,0.0
IND695101AAB,21.0,1.266666667,0.6190476190476191,27.0,21.0,1.173913043,0.38095238095238093
IND695121AAA,18.0,1.733333333,1.0,31.0,20.0,1.08,0.15
IND695541AAA,2.0,2.2257575755,1.0,41.5,14.0,1.5,0.8571428571428571
IND695572AAB,14.0,1.5,0.8571428571428571,19.5,19.0,1.733333333,1.0
IND695582AAA,20.0,1.1583850930000001,0.35,26.0,0.0,0.0,0.0
IND695609AAA,3.0,2.076923077,1.0,16.0,3.0,1.263157895,1.0
IND695614AAA,3.0,1.263157895,1.0,24.0,21.0,1.55,1.0
IND700026AAC,5.0,3.25,0.8,60.0,30.0,2.4027777775,1.0
IND700028AAB,8.0,2.8529411765,1.0,67.5,24.0,3.114661654,1.0
IND700053AAA,16.0,2.5941286115,1.0,126.0,25.0,3.338709677,1.0
IND700065AAA,23.0,3.0,1.0,155.0,31.0,3.272727273,0.967741935483871
IND700065AAB,14.0,5.208333333500001,1.0,63.0,0.0,0.0,0.0
IND700088AAA,9.0,3.428571429,1.0,253.0,28.0,3.379310345,1.0
IND700136AAB,1.0,5.535714286,1.0,187.0,1.0,2.551724138,1.0
IND700136AAG,22.0,4.1202380949999995,1.0,68.5,0.0,0.0,0.0
IND700144AAA,4.0,3.0476190475,1.0,86.0,5.0,2.315789474,1.0
IND711303AAA,17.0,0.833333333,0.11764705882352941,36.0,18.0,2.3257839725,1.0
IND712103AAA,24.0,2.9643678165,1.0,38.0,26.0,2.861111111,1.0
IND712124AAA,27.0,2.888888889,1.0,25.0,31.0,3.368421053,1.0
IND712310AAE,50.0,3.105263158,0.98,55.5,37.0,2.79245283,1.0
IND712311AAA,259.0,2.506706408,1.0,127.0,192.0,2.2890516395000002,1.0
IND712406AAA,4.0,2.3230550285,1.0,3.0,6.0,1.2676508345,0.6666666666666666
IND712410AAC,6.0,1.2676508345,0.6666666666666666,30.5,9.0,4.842105263,1.0
IND712602AAA,3.0,4.0,1.0,4.0,4.0,2.1970046080000003,1.0
IND712612AAA,3.0,1.684210526,1.0,2.0,1.0,2.577777778,1.0
IND713103AAA,4.0,2.0073007929999998,1.0,9.0,6.0,2.270006506,1.0
IND713128AAB,16.0,3.5,1.0,30.0,17.0,2.628571429,1.0
IND713130AAA,18.0,2.078125,1.0,42.0,16.0,1.913043478,1.0
IND713145AAB,3.0,1.791666667,1.0,8.0,3.0,2.166666667,1.0
IND713148AAA,17.0,2.628571429,1.0,20.0,3.0,4.444444444,1.0
IND713205AAB,43.0,2.557142857,0.9767441860465116,126.0,59.0,2.042857143,1.0
IND713303AAA,6.0,4.166666666499999,1.0,22.5,5.0,2.653846154,1.0
IND713364AAB,12.0,4.424325435,1.0,63.0,6.0,4.166666666499999,1.0
IND721102AAA,2.0,4.8275434245,1.0,142.5,5.0,2.0,1.0
IND721133AAA,2.0,2.9147633235,1.0,18.5,2.0,2.167763158,1.0
IND721134AAB,17.0,1.625,0.8823529411764706,24.0,17.0,0.833333333,0.11764705882352941
IND721139AAC,3.0,2.857142857,1.0,38.0,20.0,1.625,0.9
IND721212AAA,10.0,2.053001277,1.0,87.0,0.0,0.0,0.0
IND721253AAC,12.0,2.1226190474999997,1.0,53.0,7.0,1.912087912,1.0
IND721306AAA,21.0,2.210526316,1.0,33.0,28.0,2.0921735029999997,1.0
IND721401AAA,2.0,1.930195783,1.0,33.0,2.0,2.4699999999999998,1.0
IND721434AAB,2.0,2.4699999999999998,1.0,21.0,2.0,2.9147633235,1.0
IND721501AAC,7.0,1.909090909,1.0,7.0,1.0,1.784946237,1.0
IND721602AAB,4.0,1.8271505375000001,1.0,16.0,5.0,1.875,1.0
IND721636AAB,3.0,1.75,1.0,20.0,1.0,2.857142857,1.0
IND722101AAA,8.0,1.8852657005,1.0,7.0,2.0,2.759444203,1.0
IND722101AAB,1.0,1.555555556,1.0,8.0,1.0,0.72972973,0.0
IND722122AAA,8.0,1.9642857145,1.0,19.0,9.0,1.944444444,1.0
IND722140AAA,9.0,0.976190476,0.1111111111111111,30.0,12.0,1.3331653225,0.8333333333333334
IND722143AAB,10.0,1.3997599040000002,1.0,33.5,7.0,2.318181818,1.0
IND722151AAA,1.0,1.536231884,1.0,49.0,9.0,0.976190476,0.1111111111111111
IND722154AAA,2.0,3.6171096345000002,1.0,195.5,5.0,1.736842105,1.0
IND722202AAA,5.0,1.551724138,1.0,6.0,4.0,3.152777778,1.0
IND723101AAA,14.0,1.7948717950000002,1.0,22.0,15.0,1.761904762,1.0
IND723130AAA,20.0,1.6904761905,0.8,27.5,16.0,1.5936973375,0.6875
IND723131AAA,12.0,1.3331653225,0.8333333333333334,19.5,5.0,1.081632653,0.2
IND723133AAA,13.0,1.4,0.6153846153846154,13.0,11.0,1.411764706,1.0
IND723202AAA,14.0,2.25015674,1.0,34.5,14.0,1.7948717950000002,1.0
IND731204AAB,13.0,2.428571429,1.0,30.0,13.0,2.888888889,1.0
IND731224AAA,11.0,2.25,1.0,23.0,15.0,3.0,1.0
IND731237AAB,15.0,3.0,1.0,20.0,18.0,2.8032258065,1.0
IND731301AAA,19.0,1.943661972,1.0,24.0,16.0,2.574175824,1.0
IND732103AAA,2.0,2.8513513515,1.0,29.0,2.0,3.7883838384999997,1.0
IND732103AAB,15.0,2.8,1.0,73.0,9.0,3.411764706,1.0
IND732123AAC,1.0,1.352941176,1.0,27.0,4.0,2.190767519,1.0
IND732138AAA,7.0,2.117647059,1.0,5.0,2.0,2.8513513515,1.0
IND732139AAA,2.0,2.370015949,1.0,58.5,7.0,1.352941176,0.7142857142857143
IND732202AAA,11.0,3.125,1.0,41.0,8.0,3.4055555555000003,1.0
IND732204AAB,8.0,1.392857143,0.75,58.5,11.0,3.125,1.0
IND733102AAA,1.0,3.411764706,1.0,73.0,11.0,1.782608696,1.0
IND733128AAA,7.0,1.857142857,1.0,34.0,6.0,1.9763285025,1.0
IND733129AAA,4.0,4.1744186045,1.0,35.5,5.0,1.952380952,1.0
IND733129AAB,5.0,1.952380952,1.0,12.0,5.0,1.523809524,1.0
IND733134AAA,3.0,1.47826087,1.0,39.0,5.0,1.80952381,1.0
IND733140AAA,10.0,1.8113043480000002,1.0,13.0,2.0,2.500598086,1.0
IND733201AAA,1.0,2.0,1.0,15.0,0.0,0.0,0.0
IND733202AAB,1.0,1.322580645,1.0,19.0,1.0,2.0,1.0
IND733202AAC,1.0,2.153846154,1.0,22.0,0.0,0.0,0.0
IND734214AAB,3.0,3.179487179,1.0,14.0,0.0,0.0,0.0
IND735224AAA,8.0,1.5091185409999999,1.0,8.0,0.0,0.0,0.0
IND736135AAA,11.0,2.217391304,1.0,18.0,8.0,1.631578947,1.0
IND736146AAA,8.0,1.631578947,1.0,40.5,8.0,1.5091185409999999,1.0
IND741101AAB,1.0,2.666666667,1.0,24.0,1.0,2.088235294,1.0
IND741121AAA,1.0,2.789473684,1.0,12.0,0.0,0.0,0.0
IND741123AAB,18.0,2.384469697,1.0,26.0,18.0,2.078125,1.0
IND741126AAB,20.0,2.426470588,1.0,27.0,19.0,2.393939394,1.0
IND741156AAA,21.0,2.636363636,1.0,61.0,20.0,2.426470588,1.0
IND741165AAB,15.0,1.217391304,0.5333333333333333,34.0,18.0,3.162280702,1.0
IND742101AAC,26.0,2.627011494,1.0,111.5,33.0,2.803278689,1.0
IND742102AAB,41.0,2.214285714,1.0,62.0,53.0,2.96969697,1.0
IND742121AAA,17.0,3.727272727,1.0,28.0,16.0,3.153846154,1.0
IND742121AAB,17.0,3.153846154,1.0,31.0,16.0,1.2944099375,0.5625
IND742137AAA,6.0,2.308974359,1.0,9.5,3.0,1.833333333,1.0
IND742147AAA,3.0,1.833333333,1.0,7.0,11.0,2.25,1.0
IND742148AAA,16.0,3.3928571429999996,1.0,24.0,14.0,2.793650794,1.0
IND742149AAA,15.0,2.80952381,1.0,53.0,0.0,0.0,0.0
IND742202AAA,3.0,3.022346369,1.0,50.0,1.0,2.566666667,1.0
IND742223AAA,17.0,1.181818182,0.47058823529411764,55.0,16.0,4.666666667,1.0
IND742225AAA,16.0,4.666666667,1.0,26.0,17.0,3.428571429,1.0
IND742226AAA,19.0,2.228571429,1.0,43.0,17.0,1.181818182,0.47058823529411764
IND742303AAB,18.0,3.162280702,1.0,54.0,19.0,2.142857143,1.0
IND742401AAA,17.0,2.96969697,1.0,51.0,6.0,2.308974359,1.0
IND743235AAA,6.0,2.1,1.0,29.5,5.0,2.586206897,1.0
IND743347AAA,6.0,3.5661802355,1.0,43.0,12.0,2.097222222,1.0
IND743395AAA,4.0,3.4545454545,1.0,150.5,4.0,3.0476190475,1.0
IND743513AAA,12.0,2.097222222,1.0,27.0,4.0,3.0,1.0
IND751002AAB,76.0,2.009466113,1.0,133.0,83.0,2.006472492,1.0
IND751014AAA,3.0,2.285714286,1.0,36.0,0.0,0.0,0.0
IND751015AAA,13.0,2.0,1.0,34.0,0.0,0.0,0.0
IND751021AAA,1.0,3.2,1.0,542.0,0.0,0.0,0.0
IND752030AAA,1.0,1.681818182,1.0,7.0,0.0,0.0,0.0
IND752050AAA,3.0,2.333333333,1.0,16.0,2.0,1.318181818,0.5
IND752055AAA,2.0,1.4615384615,0.5,22.5,2.0,1.9347826085,1.0
IND752056AAA,1.0,1.894736842,1.0,6.0,7.0,2.090909091,1.0
IND754022AAA,2.0,2.2413273005,1.0,14.0,2.0,2.220909091,1.0
IND754103AAA,1.0,2.185185185,1.0,38.0,4.0,3.5588235294999997,1.0
IND754142AAA,2.0,2.9696296295,1.0,29.5,2.0,2.0925925925,1.0
IND754160AAA,1.0,2.0,1.0,30.0,0.0,0.0,0.0
IND754202AAA,1.0,2.0,1.0,80.0,1.0,2.606060606,1.0
IND754211AAA,1.0,2.606060606,1.0,6.0,2.0,2.9696296295,1.0
IND756019AAA,12.0,2.027777778,0.9166666666666666,739.0,5.0,1.6,1.0
IND756029AAA,1.0,1.802631579,1.0,466.0,1.0,1.315789474,1.0
IND756032AAA,9.0,2.375,1.0,222.0,1.0,1.5,1.0
IND756045AAB,1.0,1.6875,1.0,22.0,1.0,1.162790698,0.0
IND756100AAC,19.0,2.16875,0.9473684210526315,94.0,25.0,2.055214724,1.0
IND757001AAA,2.0,1.919936373,1.0,14.5,8.0,2.0333333335,1.0
IND757024AAA,1.0,2.677419355,1.0,17.0,0.0,0.0,0.0
IND757025AAA,6.0,2.0333333335,1.0,24.5,8.0,2.0804093569999997,1.0
IND757037AAA,13.0,2.705882353,1.0,190.0,6.0,1.9611111110000001,1.0
IND757041AAA,4.0,1.5959183675,1.0,323.0,3.0,1.913043478,0.6666666666666666
IND758001AAA,6.0,2.0,1.0,25.5,7.0,2.034782609,1.0
IND758034AAA,4.0,2.091437149,1.0,24.5,13.0,2.298136646,1.0
IND758035AAA,1.0,1.714285714,1.0,14.0,3.0,2.076923077,1.0
IND759122AAC,1.0,1.746666667,1.0,121.0,1.0,3.67826087,1.0
IND760003AAB,2.0,2.63,1.0,318.0,12.0,2.0037593984999997,1.0
IND761200AAA,12.0,2.144230769,1.0,7.5,12.0,1.941511531,0.9166666666666666
IND762001AAA,1.0,3.67826087,1.0,84.0,1.0,2.2,1.0
IND764001AAC,7.0,2.5,1.0,30.0,4.0,2.7028061225,1.0
IND764020AAC,1.0,2.25,1.0,7.0,1.0,4.263157895,1.0
IND764059AAA,3.0,1.888888889,1.0,18.0,7.0,2.5,1.0
IND764071AAB,3.0,1.875,1.0,15.0,3.0,1.888888889,1.0
IND767001AAA,4.0,1.957142857,1.0,43.0,3.0,0.980263158,0.3333333333333333
IND767017AAA,3.0,2.278481013,1.0,614.0,4.0,1.7447619049999998,1.0
IND768004AAD,3.0,2.8,1.0,148.0,2.0,2.1071892245,1.0
IND768028AAA,1.0,0.845637584,0.0,11.0,2.0,2.8137931035,1.0
IND768028AAB,1.0,0.980263158,0.0,4.0,1.0,2.53125,1.0
IND768201AAA,1.0,1.666666667,1.0,112.0,0.0,0.0,0.0
IND768216AAA,5.0,2.205882353,1.0,7.0,0.0,0.0,0.0
IND770001AAA,6.0,1.5530142785,1.0,18.0,6.0,2.1457983195,1.0
IND781001AAA,10.0,1.9710424715,0.8,45.0,0.0,0.0,0.0
IND781003AAA,3.0,3.108108108,1.0,37.0,7.0,2.5,0.8571428571428571
IND781005AAA,10.0,1.333333333,0.7,51.5,6.0,1.0740853659999998,0.3333333333333333
IND781014AAA,12.0,2.288888889,1.0,40.0,0.0,0.0,0.0
IND781018AAA,2.0,1.0629084965,0.5,1367.5,0.0,0.0,0.0
IND781018AAB,90.0,2.143042672,0.8666666666666667,168.5,89.0,2.317073171,0.8202247191011236
IND781022AAA,12.0,0.8943014705,0.16666666666666666,48.0,9.0,0.972972973,0.2222222222222222
IND781102AAA,2.0,4.3455882355,1.0,571.5,5.0,2.277777778,1.0
IND781124AAA,5.0,4.709677419,1.0,24.0,8.0,2.1717391305,1.0
IND781335AAA,4.0,1.8025490195,1.0,26.0,2.0,3.133333333,1.0
IND781354AAA,2.0,3.133333333,1.0,6.5,8.0,1.703703704,1.0
IND783129AAA,1.0,2.225806452,1.0,101.0,10.0,1.9545454544999998,1.0
IND783301AAA,11.0,1.909090909,1.0,41.0,10.0,2.546542553,1.0
IND783348AAA,10.0,1.9545454544999998,1.0,102.0,11.0,1.909090909,1.0
IND783370AAB,2.0,2.1276595745,1.0,40.0,0.0,0.0,0.0
IND783370AAC,8.0,2.6354166665000003,1.0,32.5,9.0,1.766666667,1.0
IND784001AAA,6.0,2.2899159664999997,1.0,76.5,7.0,2.311594203,1.0
IND784101AAA,1.0,1.28125,1.0,47.0,1.0,2.0,1.0
IND784110AAA,3.0,2.24,1.0,8.0,3.0,2.583333333,1.0
IND784125AAA,3.0,2.583333333,1.0,38.0,4.0,1.715384615,1.0
IND784168AAB,8.0,2.819976771,1.0,32.0,3.0,2.28125,1.0
IND784176AAA,4.0,2.3378146099999997,1.0,78.5,6.0,2.5272938445,1.0
IND785001AAA,15.0,2.0,1.0,62.0,10.0,3.0820067145000003,1.0
IND785112AAC,2.0,3.21954023,1.0,8.5,3.0,2.111111111,1.0
IND785612AAB,2.0,1.9195113784999998,1.0,35.5,3.0,2.087179487,1.0
IND785621AAA,3.0,1.590909091,1.0,42.0,2.0,1.819083694,1.0
IND785675AAA,1.0,2.190082645,1.0,39.0,3.0,3.214285714,1.0
IND785682AAA,12.0,2.1932633194999998,1.0,44.5,24.0,2.8435441370000003,1.0
IND785690AAB,13.0,4.147058824,1.0,46.0,2.0,3.494652406,1.0
IND786001AAB,42.0,2.267560664,1.0,85.5,38.0,2.7350000000000003,1.0
IND786125AAA,7.0,2.25,1.0,31.0,6.0,2.633333333,1.0
IND786171AAA,11.0,2.25,1.0,16.0,13.0,3.166666667,1.0
IND786181AAC,34.0,3.303494624,1.0,32.0,18.0,2.5138888885000004,1.0
IND786184AAA,7.0,2.533333333,1.0,18.0,10.0,2.076923077,1.0
IND786190AAA,10.0,2.2147937410000003,1.0,10.0,10.0,2.0714285715000003,1.0
IND787001AAA,8.0,2.689787234,1.0,42.5,2.0,3.5525846705,1.0
IND787057AAA,10.0,2.12,1.0,40.0,8.0,2.689787234,1.0
IND787059AAB,1.0,2.718309859,1.0,35.0,10.0,2.12,1.0
IND788026AAC,34.0,2.4735772359999997,1.0,231.5,21.0,2.751004016,1.0
IND788121AAA,3.0,3.5,1.0,11.0,2.0,4.05,1.0
IND788151AAA,13.0,2.606060606,1.0,47.0,13.0,2.545454545,1.0
IND788713AAA,10.0,2.923076923,1.0,50.0,13.0,2.606060606,1.0
IND788806AAA,9.0,3.75,1.0,82.0,11.0,2.769230769,1.0
IND790001AAB,1.0,2.78021978,1.0,656.0,0.0,0.0,0.0
IND791102AAA,1.0,2.821782178,1.0,63.0,5.0,1.9625,1.0
IND791109AAA,1.0,3.575757576,1.0,44.0,0.0,0.0,0.0
IND791110AAA,1.0,3.529411765,1.0,37.0,0.0,0.0,0.0
IND791125AAB,4.0,1.9503858025,1.0,25.5,0.0,0.0,0.0
IND792001AAA,3.0,1.651162791,1.0,18.0,11.0,0.680851064,0.0
IND792103AAB,11.0,0.680851064,0.0,18.0,10.0,2.1822612085,1.0
IND792110AAA,2.0,2.37,1.0,35.0,2.0,1.5697674419999998,1.0
IND792120AAB,3.0,3.088235294,1.0,19.0,9.0,4.085714286,1.0
IND792121AAB,4.0,2.9111111110000003,1.0,8.0,11.0,2.931034483,1.0
IND792130AAB,10.0,2.857406095,1.0,42.5,0.0,0.0,0.0
IND793001AAA,3.0,2.177777778,1.0,46.0,10.0,2.0251020410000002,1.0
IND793150AAA,1.0,1.95620438,1.0,68.0,2.0,2.3171497585,1.0
IND794101AAA,9.0,2.408805031,1.0,147.0,1.0,2.225806452,1.0
